,tweet_id,tweet_text,sentiment,emotion,subject_type,subject,subject_stance
0,1.8053879555756035e+18,"SCOTUS has taken up a case to weigh the legality of banning “transgender” mutilation of children. Biden administration challenged Tennessee ban on minors’ gender-affirming care, which court will hear sometime in the new session beginning in October. 

https://t.co/MKojl3EAYJ",neutral,NA,entity,Biden administration,supportive
1,1.8053879555756035e+18,"SCOTUS has taken up a case to weigh the legality of banning “transgender” mutilation of children. Biden administration challenged Tennessee ban on minors’ gender-affirming care, which court will hear sometime in the new session beginning in October. 

https://t.co/MKojl3EAYJ",neutral,NA,event,Tennessee ban on minors’ gender-affirming care,nonsupportive
2,1.8053879555756035e+18,"SCOTUS has taken up a case to weigh the legality of banning “transgender” mutilation of children. Biden administration challenged Tennessee ban on minors’ gender-affirming care, which court will hear sometime in the new session beginning in October. 

https://t.co/MKojl3EAYJ",neutral,NA,event,NSCOTUS case on transgender children mutilation ban,supportive
3,1.805387916191187e+18,"Did Chellie Pingree go on CNN and tell Kasie that she is ready to fly to Camp David? Has Chellie offered to assist Joe Biden with ""Boofing"" in preparation for the debate? ""Chellie Pingree...the Proof is in the Boof"" @chelliepingree @kasie @TheMaineWire https://t.co/kpH56nDyJy",neutral,NA,entity,Chellie Pingree,NA
4,1.805387916191187e+18,"Did Chellie Pingree go on CNN and tell Kasie that she is ready to fly to Camp David? Has Chellie offered to assist Joe Biden with ""Boofing"" in preparation for the debate? ""Chellie Pingree...the Proof is in the Boof"" @chelliepingree @kasie @TheMaineWire https://t.co/kpH56nDyJy",neutral,NA,event,Boofing in debate preparation,nonsupportive
5,1.8053878189209848e+18,"Trump needs to refuse to debate until Biden agrees to a drug test. 

Do not be nice to the enemy who is rigging the entire debate.",negative,"anger, aggression",entity,Joe Biden,nonsupportive
6,1.8053878189209848e+18,"Trump needs to refuse to debate until Biden agrees to a drug test. 

Do not be nice to the enemy who is rigging the entire debate.",negative,"anger, aggression",event,debate,supportive
7,1.8053878154020623e+18,"@UndeadChronic_3 @ItsMrsRabbitToU You can’t be any more of a MAGA weirdo commenting about a young girls breasts and then accusing another of being a “pedo.” 

Oxymoron extra.🤯",negative,"anger, distrust, concern",entity,Donald Trump,nonsupportive
8,1.8053878154020623e+18,"@UndeadChronic_3 @ItsMrsRabbitToU You can’t be any more of a MAGA weirdo commenting about a young girls breasts and then accusing another of being a “pedo.” 

Oxymoron extra.🤯",negative,"anger, distrust, concern",event/topic,commenting about a young girl's breasts,negative
9,1.8053878154020623e+18,"@UndeadChronic_3 @ItsMrsRabbitToU You can’t be any more of a MAGA weirdo commenting about a young girls breasts and then accusing another of being a “pedo.” 

Oxymoron extra.🤯",negative,"anger, distrust, concern",event/topic,accusing someone of being a 'pedo',negative
10,1.8053877798846958e+18,"Sky News Senior Political Reporter Trudy McIntosh says there has been a “long push” from the Australian government to “get Julian Assange back” to Australia following reports he has agreed to a plea deal with the Biden administration.

https://t.co/M12qLif2Is",neutral,NA,entity,Julian Assange,supportive
11,1.8053877798846958e+18,"Sky News Senior Political Reporter Trudy McIntosh says there has been a “long push” from the Australian government to “get Julian Assange back” to Australia following reports he has agreed to a plea deal with the Biden administration.

https://t.co/M12qLif2Is",neutral,NA,event,plea deal with Biden administration,positive
12,1.8053877798846958e+18,"Sky News Senior Political Reporter Trudy McIntosh says there has been a “long push” from the Australian government to “get Julian Assange back” to Australia following reports he has agreed to a plea deal with the Biden administration.

https://t.co/M12qLif2Is",neutral,NA,topic,Australian government push to get Julian Assange back to Australia,nonsupportive
13,1.805387778576073e+18,"Debate questions Biden should pose :

1. Does your probation officer know you're here?
2. Are you going to talk about sharks tonight?
3. Tell us about your plans for a migrant fight club 
4. Why is your wife not here? Again 

Please add more to the list",negative,"anger, frustration, disdain",entity,Joe Biden,nonsupportive
14,1.805387778576073e+18,"Debate questions Biden should pose :

1. Does your probation officer know you're here?
2. Are you going to talk about sharks tonight?
3. Tell us about your plans for a migrant fight club 
4. Why is your wife not here? Again 

Please add more to the list",negative,"anger, frustration, disdain",topic,debate questions for Joe Biden,negative
15,1.805387778576073e+18,"Debate questions Biden should pose :

1. Does your probation officer know you're here?
2. Are you going to talk about sharks tonight?
3. Tell us about your plans for a migrant fight club 
4. Why is your wife not here? Again 

Please add more to the list",negative,"anger, frustration, disdain",event,presidential debate,negative
16,1.8053877620127665e+18,Why is Trump so afraid to debate President Biden?,negative,anger,entity,Donald Trump,nonsupportive
17,1.8053877620127665e+18,Why is Trump so afraid to debate President Biden?,negative,anger,event,presidential debate,negative
18,1.8053877187903534e+18,"Julian Assange is an anti-American terrorist who put America’s soldiers &amp; national security at risk.

The Biden administration offering him a plea deal is pathetic.

He should be punished in the most brutaI &amp; inhumane way possible, to the point where he Ioses his wiII to Iive. 😵 https://t.co/VNLQcyGLRz",negative,"anger, concern",entity,Julian Assange,nonsupportive
